#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
20,"Oh Lord","MiC LOWRY",37,96,"","","Oh Lord",2016-09-16,03:34,28,77,2,0,35,0,0,-7,G Minor,4,2024-08-25,1XUiFMK48Yy4fgds8l9aLH,"Polydor Records",6A,GBUM71604314
21,"Revenge And a Little More","Unlike Pluto",43,90,"la pop","Pop","Pluto Tapes: Volume 3",2019-08-01,04:12,75,49,36,0,37,0,20,-8,A Minor,4,2024-08-25,26VyhqkJmiMCmNy6b0anKi,"Heroic",8A,NLRD51632308
22,"empty crown","YAS",44,84,"","","empty crown",2019-04-05,03:34,43,48,37,8,8,0,0,-6,G#/A♭ Minor,4,2024-08-25,5j4hgym3SUadjFieaAIVw0,"bitbird",1A,NLRD51632280
23,"Morning","Marc E. Bassy",53,107,"indie pop rap","Hip Hop","Groovy People",2016-08-05,03:26,46,44,56,0,34,10,10,-8,A#/B♭ Major,3,2024-08-25,54Yappwod1fELR5zb2gDBn,"Republic Records/Gee Roberson",6B,USUM71607077
24,"Selfish","Justin Timberlake",67,88,"dance pop, pop","Pop","Selfish",2024-01-25,03:49,69,54,7,3,38,0,0,-7,C♯/D♭ Major,4,2024-08-25,0QosomGFiJYOxj2ViZfqng,"RCA Records Label",3B,USRC12400001
25,"Genie in a Bottle","Oshri",25,94,"","","Genie in a Bottle",2019-01-31,03:18,48,65,6,0,63,0,0,-5,D Minor,4,2024-08-25,31AZamcO2dafXDymU8kidB,"Trace Music",7A,FR9DZ1900246
26,"Wonderful Nothing","Glass Animals",64,89,"gauze pop, indietronica, modern rock, pov: indie, shiver pop","Pop, Rock","I Love You So F***ing Much",2024-07-19,04:24,65,49,25,0,48,0,20,-9,F#/G♭ Minor,4,2024-08-25,6Lto2Xj8y0U2bes2hmRMZu,"Polydor Records",11A,GBUM72400791
27,"Electric Feel","Ari Gumora",34,86,"","","Electric Feel",2018-12-09,04:20,77,34,15,0,17,0,10,-11,E Minor,4,2024-08-25,1jwdm5WMaMAzMQFawcPlDt,"Nu Wild",9A,QZFYX1950344
28,"Believer - Piano Version","SYML",26,152,"modern indie pop","Pop","Believer",2023-03-10,04:31,36,15,90,0,14,0,10,-12,C Major,4,2024-08-25,6SMk74CGhmPz2KbkPdwohd,"Nettwerk Music Group",8B,CAN112300380
29,"Lucy The Tease","Allan Rayman",44,178,"canadian contemporary r&b","R&B","Hotel Allan",2016-10-28,03:02,69,59,20,0,76,10,0,-6,C Minor,4,2024-08-25,2j4RC1LkwV47B0BMZNyvE3,"Universal Music Canada",5A,CAUC01500050
30,"The Weight Is Gone - The Purgatory Sessions","Albin Lee Meldau",30,95,"classic swedish pop, swedish pop, swedish singer-songwriter","Pop, Folk/Acoustic","The Purgatory Sessions",2019-02-15,03:06,67,21,87,0,36,0,10,-11,G#/A♭ Minor,4,2024-08-25,0kExggaYmBEq5RGfmf8GZp,"Virgin Records",1A,USUM71900067
31,"Us","MOVEMENT",52,180,"vapor soul","R&B","Us",2013-01-01,03:02,68,51,21,51,31,10,0,-13,B Minor,4,2024-08-25,0oGzdzQ8v91ppdUskuzOxM,"Modular",10A,AUUM71301083
32,"U Move, I Move (feat. Jhene Aiko)","John Legend,Jhené Aiko",52,83,"neo soul, pop, pop soul, urban contemporary, r&b","R&B, Pop, Hip Hop","Bigger Love",2020-06-19,03:43,38,25,84,0,26,0,10,-10,B Major,4,2024-08-25,7wfDCDfhVe2tFxIkQEJp35,"Columbia",1B,USSM12003403
33,"Close To You","Rihanna",56,80,"barbadian pop, pop, urban contemporary","Pop, Hip Hop","ANTI (Deluxe)",2016-01-28,03:43,49,17,90,0,14,0,10,-11,A#/B♭ Major,4,2024-08-25,6D2tzc8kRnZb7P1lNwMBLH,"Roc Nation / Rihanna",6B,QM5FT1600112
34,"Where Were You In The Morning?","Shawn Mendes",55,88,"canadian pop, pop, viral pop","Pop","Shawn Mendes",2018-05-25,03:20,71,52,56,0,45,0,10,-7,G Major,4,2024-08-25,376Gg7Oxo5C5jUWDWpVXeI,"Island Records",9B,USUM71804952
35,"Turn The Lights Down","Cavalcade",20,92,"","","Turn The Lights Down",2015-07-01,03:17,69,41,44,0,26,0,10,-7,E Major,4,2024-08-25,6Dd2co4OMQJgNoRYyVnw9W,"CRS/L2NZ",12B,AUW631100716
36,"La La Land - Acoustic","Bryce Vine",42,98,"indie pop rap","Hip Hop","La La Land EP",2019-07-05,02:17,73,42,56,0,36,0,0,-9,C♯/D♭ Minor,4,2024-08-25,1sMi8ywnrNKysixM34zH9W,"Sire",12A,USWB11901204
37,"Little Lover","Nick Broadhurst",17,90,"","","Thank You",2018-06-29,03:59,49,28,70,0,20,0,10,-8,E Minor,4,2024-08-25,4l4CdUmn5BSPRepMwXl3LR,"Broadhurst Holdings",9A,AUZN31500315
38,"To Die For","Sam Smith",58,172,"pop, uk pop","Pop","To Die For",2020-02-14,03:13,48,36,83,0,31,0,10,-8,C Major,4,2024-08-25,2ZTYlnhhV1UAReg7wIGolx,"PLG - Capitol",8B,GBUM71906661
39,"All Around Me","Bahari,Cody Lovaas",28,76,"alt z, la pop","Pop","All Around Me",2021-12-10,03:25,73,25,49,0,37,0,0,-10,A#/B♭ Minor,4,2024-08-25,1fdcacZgERIC8LBCFdtj6A,"Epic",3A,USSM12108676
