#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
22,"Capricorn - Live Acoustic","Elderbrook",22,104,"uk dance","Electronic","Old Friend / Capricorn (Live Acoustic)",2019-03-15,02:51,76,20,59,0,34,0,0,-12,C Major,4,2019-11-08,5bzEntzYD3NlqNXBnpo2yv,"FFRR",8B,GBAYE1900205
23,"Don't Be Lazy","Emotional Oranges",0,103,"indie r&b","R&B","Don't Be Lazy",2019-07-24,02:31,76,59,2,1,37,0,10,-8,C♯/D♭ Major,4,2019-11-08,4wuOyQvMC3DZIWuMkpjq3M,"Island Records",3B,USUM71913082
24,"Cross My Mind, Pt. 2 (feat. Kiiara)","A R I Z O N A,Kiiara",46,93,"electropop, indie poptimism, alt z","Pop","Cross My Mind: The Mixtape",2017-08-18,03:37,63,81,6,0,43,0,10,-5,C Major,4,2019-11-08,6JsfvqClYnc2R5yZ67C2ch,"Atlantic Records",8B,USAT21702908
25,"I Warned Myself","Charlie Puth",49,184,"pop, viral pop","Pop","I Warned Myself",2019-08-21,02:39,49,31,56,0,58,30,10,-11,A#/B♭ Minor,4,2019-11-08,3707IBa4HnS3zDDoWfeUBl,"Artist Partner",3A,USAT21904473
26,"Postcards in the Sky","David Archuleta",21,86,"idol, lds youth, post-teen pop","Pop","Postcards in the Sky",2017-10-20,03:46,62,56,4,0,41,0,10,-7,A#/B♭ Major,4,2019-11-08,3D47LDGgt14vVllOnGJfyU,"Archie Music / Tone Tree Music",6B,TCADG1789208
27,"Oops!...I Did It Again (Live At Largo)","Kina Grannis",30,117,"acoustic pop, viral pop","Pop","Live At Largo 07.28.11",2011-10-10,02:34,70,9,72,0,38,10,60,-15,C Minor,4,2019-11-08,2anAsJahYmwJcZG9TNC8ij,"One Haven Music",5A,USA371446131
28,"thank u, next","Adam Neely",17,98,"","","thank u, next",2019-04-15,03:13,57,49,45,0,41,0,10,-7,F#/G♭ Major,4,2019-11-08,51zC0cKP0zSmXgj4kgfbl0,"676832 Records DK2",2B,QZES61922150
29,"Soul Searching","Bazzi",29,82,"pop","Pop","Soul Searching",2019-08-09,02:28,75,48,23,0,40,10,10,-8,C♯/D♭ Minor,4,2019-11-08,0SiIZvtn6B0n9DCBW8b937,"iamcosmic",12A,USAT21904227
30,"What You Don't Do - Tom Misch Remix","Lianne La Havas,Tom Misch",39,94,"alternative r&b, british soul, indie soul, neo soul, pop soul, soul, jazz pop","R&B, Pop","What You Don't Do (Tom Misch Remix)",2015-08-07,03:49,70,51,33,14,45,10,10,-7,A#/B♭ Minor,4,2019-11-08,2pygzLN7fwCgeW5FNaugEm,"Warner Records",3A,GBAHT1500447
31,"Payphone","Jayesslee",51,105,"viral pop","Pop","Payphone",2012-05-27,03:04,76,28,85,0,65,0,30,-12,C Major,4,2019-11-08,5h3Wapr8ZukuHRZ5XMMejV,"Jayesslee",8B,TCABG1271825
32,"Underneath","Dana Shine",0,96,"","","Underneath",2018-03-12,03:44,77,48,40,0,21,0,10,-8,G#/A♭ Minor,4,2019-11-08,1DehJS9OjpwiFSiP27SEDq,"The House",1A,GBKPL1800821
33,"A Simple Go","Mar Omin",26,85,"","","Form",2014-03-28,03:45,71,42,56,1,21,0,0,-10,F#/G♭ Major,4,2019-11-08,2QXnSowUmnKMJlz7eC7lcd,"FCXM Music",2B,NLF2D1600001
34,"Slow Fade","Ruth B.",0,80,"alt z, canadian contemporary r&b, canadian pop, pop","Pop, R&B","Slow Fade",2019-01-25,03:31,73,34,76,0,44,0,0,-10,D Major,4,2019-11-08,25aILAMvglYwkk4QkbfAxV,"Columbia",10B,USSM11807663
35,"Spin With You (feat. Jeremy Zucker)","Emma Sameth,WOLFE,Jeremy Zucker",39,96,"la pop, alt z, electropop, pop","Pop","Spin With You (feat. Jeremy Zucker)",2018-12-19,03:32,82,45,72,0,42,20,10,-7,F Minor,4,2019-11-08,1m7XbKhOvJst478ms8yUrr,"Parametric",4A,USAT21813024
36,"One Time","Marian Hill",50,160,"electropop","Pop","Sway",2015-02-17,03:37,84,24,29,0,52,40,10,-12,A Minor,4,2019-11-08,1Z4UKak2eNteHFZkwiYPNz,"Photo Finish / Republic Records",8A,TCABU1440576
37,"The Weight Is Gone - The Purgatory Sessions","Albin Lee Meldau",30,95,"classic swedish pop, swedish pop, swedish singer-songwriter","Pop, Folk/Acoustic","The Purgatory Sessions",2019-02-15,03:06,67,21,87,0,36,0,10,-11,G#/A♭ Minor,4,2019-11-08,0kExggaYmBEq5RGfmf8GZp,"Virgin Records",1A,USUM71900067
38,"Heathens","Twenty One Pilots",81,90,"modern rock, pop, pov: indie, rock","Rock, Pop","Heathens",2016-06-16,03:15,73,40,8,0,55,0,10,-9,E Minor,4,2019-11-08,6i0V12jOa3mr6uu4WYhUBr,"Atlantic Records",9A,USAT21601930
39,"I Like Me Better - Recorded at Spotify Studios NYC","Lauv",0,90,"pop","Pop","Spotify Singles",2017-07-19,03:22,45,15,78,0,36,0,0,-13,A Major,4,2019-11-08,2uQNcZYa0SEbfW4cj0d9OS,"Lauv",11B,GBWWP1703024
40,"Movement - Recorded at Spotify Studios NYC","Hozier",39,70,"irish singer-songwriter, modern rock, pop, pov: indie","Folk/Acoustic, Rock, Pop","Spotify Singles",2019-01-09,04:12,46,40,8,0,27,0,10,-9,B Minor,4,2019-11-08,5EaHXf4tvFDKr3W2dDTlaO,"Columbia",10A,USSM11809116
41,"Tines","Andrew Huang,Rob Scallon",21,87,"canadian electronic, instrumental bluegrass","Electronic, Country","Tines",2017-06-29,02:46,71,30,81,95,17,0,10,-11,C Major,4,2019-11-08,5KBAxKSFlc2JjhOU1qBJbd,"http://andrewhuang.com",8B,UST8K1709861
