#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
104,"Leave It Alone","Vandelux,Tyler Mann",41,108,"stutter house, ","Electronic","When The Light Breaks",2023-09-15,02:51,88,62,22,50,43,0,20,-6,A Major,4,2024-04-22,4mfcbiAXjJ2qWyb0LCqAP8,"TH3RD BRAIN",11B,NLRD52273707
105,"Lit In The City","Pitbull,T-Pain,El Micha",27,100,"dance pop, miami hip hop, pop, gangster rap, hip hop, pop rap, r&b, rap, southern hip hop, trap, urban contemporary, cubaton, reparto","Latin, Pop, Hip Hop, R&B","Lit In The City",2023-10-05,03:39,78,73,6,0,54,0,90,-6,A Minor,4,2024-04-22,02wsH9nXat8V4uxK658e6c,"Mr. 305 Records",8A,USNPW2300580
106,"By Your Side","Sal Houdini",16,102,"trap soul","R&B","By Your Side",2017-11-11,03:37,53,77,16,0,64,20,10,-6,C♯/D♭ Minor,4,2024-04-22,0pgNwKl5pTOtJLx7eefrA3,"Houdini Sound",12A,TCADI1762126
107,"Ladders","Mac Miller",68,104,"hip hop, pittsburgh rap, rap","Hip Hop","Swimming",2018-08-03,04:47,80,46,24,1,29,10,10,-8,G#/A♭ Major,4,2024-04-22,39NDBdU5Xkm5pCFGa5kZtI,"Warner Records",4B,USWB11801217
108,"What It Is (Block Boy) (with Kodak Black)","Doechii,Kodak Black",39,172,"alternative r&b, florida drill, florida rap, melodic rap, miami hip hop, rap, trap, trap latino","R&B, Hip Hop, Latin","What It Is (Block Boy) (with Kodak Black)",2023-03-17,03:43,54,76,9,0,69,20,10,-6,C♯/D♭ Minor,4,2024-04-22,1x7SilUGxYYmLAsKMOHww7,"Top Dawg Entertainment/Capitol Records",12A,USUG12301758
109,"Trouble Remix (feat. Wale, Trey Songz, T-Pain, J. Cole & DJ Bay Bay)","Maejor,Wale,Trey Songz,T-Pain,J. Cole,Dj Bay Bay",3,194,"detroit hip hop, pop rap, r&b, rap, southern hip hop, trap, dance pop, urban contemporary, gangster rap, hip hop, conscious hip hop, north carolina hip hop, ","Hip Hop, Pop, R&B","Trouble Remix (feat. Wale, Trey Songz, T-Pain, J. Cole & DJ Bay Bay) [Clean Version]",2012-01-04,03:57,58,81,1,0,56,30,30,-5,C♯/D♭ Minor,4,2024-04-22,50yl6Bk0NLqgRC5jSXfnyM,"Jive",12A,USRC11101140
110,"Phases","PRETTYMUCH",57,106,"boy band, post-teen pop, teen pop","Pop","Phases",2019-04-26,03:35,77,64,17,0,49,10,0,-7,B Minor,4,2024-04-22,3je88Q4OvTqIx7BFRFYvRA,"Syco Music",10A,GBHMU1900019
111,"Arms","Jack Newsome",20,108,"","","All Dressed Up",2021-06-04,02:52,76,65,28,0,75,0,0,-5,A#/B♭ Minor,4,2024-04-22,0WL1NND7F3EeyG6REVJpIp,"Jack Newsome",3A,ZZOPM2104561
112,"Buy U A Drank - Recorded at Spotify Studios NYC","MAX",30,104,"singer-songwriter pop, teen pop, viral pop","Pop","Spotify Singles",2017-05-31,02:43,82,70,8,0,83,10,10,-7,B Minor,4,2024-04-22,5sRaYTnVObtY8dVUiFBd0F,"RED MUSIC/Sony Music Entertainment",10A,USQX91701002
113,"You're Sexy I'm Sexy","Eric Nam",42,110,"k-pop","Pop","Before We Begin",2019-11-14,03:07,81,72,11,0,83,0,0,-5,B Minor,4,2024-04-22,3VrAQzhFpUX0RGRqcOATd0,"Genie Music Corporation",10A,KRA491901075
114,"Careless Whisper","Corneille",11,176,"french pop","Pop","Love & Soul",2018-05-18,03:19,55,64,23,0,63,10,0,-7,D Minor,4,2024-04-22,6aY1MYU2jav90tN3HWlahb,"Wagram Music / W Lab",7A,FR6F31701490
115,"Booty Had Me Like (Woah)","Round2Crew",37,99,"teen pop","Pop","Woah",2015-10-06,03:03,88,63,12,0,82,10,20,-8,G Major,4,2024-04-22,2NL6VOXd7ngObm99LUZk2I,"Round2crew",9B,TCACJ1505572
116,"Mr Right (with Meghan Trainor)","Mae Stephens,Meghan Trainor",54,107,"singer-songwriter pop, hip pop, pop","Pop","Mr Right (with Meghan Trainor)",2023-08-04,02:47,64,87,1,0,80,0,10,-4,F Minor,4,2024-04-22,0nNARbTLwzLGz51aUEZPnp,"EMI",4A,GBUM72306245
117,"Good Feeling","inverness,Brandyn Burnette,Molly Moore",26,102,"","","Good Feeling",2020-10-09,02:50,73,71,29,0,50,0,10,-5,C Major,4,2024-04-22,0n5HbXi8xmzz4Z9Wlx142C,"Monstercat",8B,CA6D22000167
