#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
34,"Na Na","Trey Songz",62,97,"dance pop, r&b, southern hip hop, trap, urban contemporary","Pop, R&B, Hip Hop","Trigga Reloaded",2015-06-23,03:51,67,48,33,0,24,0,10,-6,A Minor,4,2024-10-23,5LIleJbUUgtvYnBW9wfY1W,"Songbook/Atlantic",8A,USAT21304769
35,"Me & U","Cassie",77,100,"dance pop, hip pop, pop rap, r&b, urban contemporary","Pop, Hip Hop, R&B","Cassie (U.S. Version)",2006-08-07,03:12,80,45,35,0,74,0,0,-5,G#/A♭ Minor,4,2024-10-23,7k6IzwMGpxnRghE7YosnXT,"Bad Boy Records",1A,USBB40610361
36,"Loyal (feat. Lil Wayne & Tyga)","Chris Brown,Lil Wayne,Tyga",74,99,"r&b, rap, hip hop, new orleans rap, pop rap, trap, southern hip hop","Hip Hop, R&B","X (Expanded Edition)",2014-09-16,04:24,84,52,2,0,62,0,10,-6,A#/B♭ Minor,4,2024-10-23,5BrTUo0xP1wKXLJWUaGFtk,"RCA Records Label",3A,USRC11400614
37,"24 Hours (feat. 2 Chainz)","TeeFLii,2 Chainz",43,100,"pop r&b, slow game, west coast trap, atl hip hop, hip hop, pop rap, rap, southern hip hop, trap","Hip Hop, R&B","Starr",2015-01-30,03:35,84,71,2,0,40,0,10,-7,C♯/D♭ Major,4,2024-10-23,6miFQ5ev2eTrEBJVFNRVcF,"Epic/Excuse My Liquor",3B,USSM11401568
38,"Run It! (feat. Juelz Santana)","Chris Brown,Juelz Santana",73,101,"r&b, rap, gangster rap, harlem hip hop, hip pop, nyc rap, pop rap, trap","Hip Hop, Pop, R&B","Chris Brown (Expanded Edition)",2005-00-00,03:49,85,48,2,0,21,10,30,-7,C♯/D♭ Minor,4,2024-10-23,7xYnUQigPoIDAMPVK79NEq,"Jive",12A,USJI10500482
39,"Rack City","Tyga",57,99,"hip hop, pop rap, rap, southern hip hop, trap","Hip Hop","Careless World: Rise Of The Last King",2012-01-01,03:23,93,34,4,0,27,30,10,-11,C♯/D♭ Major,4,2024-10-23,21nFIDqoD1L7ELsprVSzOR,"Cash Money Records/Motown Records",3B,USCM51200057
40,"Don't Tell 'Em","Jeremih,YG",72,98,"chicago rap, pop rap, r&b, southern hip hop, trap, urban contemporary, cali rap, hip hop, rap","Hip Hop, R&B","Late Nights: The Album",2015-12-04,04:26,86,53,39,0,39,10,10,-5,D Major,4,2024-10-23,0Dc7J9VPV4eOInoxUiZrsL,"Def Jam",10B,USUM71406166
41,"Nice 'n' Easy - Remastered 1999","Frank Sinatra",54,109,"adult standards, easy listening, lounge","Easy listening","Nice 'n' Easy (Remastered / Expanded Edition)",1960-07,02:45,54,15,77,0,51,0,10,-15,C Major,4,2024-10-23,5Z7bkW3dsu8jLdv3dEGxly,"Capitol Records",8B,USCA29900868
42,"Had Some Drinks","Two Feet",36,85,"indie poptimism, modern rock","Pop, Rock","Momentum",2017-06-09,02:20,83,30,14,0,30,10,10,-12,F Major,4,2024-10-23,4uY9CS5hjA92M5r2Do8yTy,"Majestic Casual Records",7B,DEVF11700123
43,"Oops!... I Did It Again","Scott Bradlee's Postmodern Jukebox,Haley Reinhart",46,109,"jazz cover, swing, idol","Pop, Latin, Easy listening","Swipe Right For Vintage",2015-07-30,03:32,53,54,82,0,64,0,30,-5,F Minor,4,2024-10-23,3LoIBdxoJR1P61Gxytw1Mg,"mudhutdigital.com",4A,GBDMT1500215
