#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
22,"Worst of You","Maisie Peters",54,102,"alt z, uk pop","Pop","Worst of You",2018-05-11,03:17,74,47,56,0,35,0,0,-7,E Major,4,2021-08-09,54iSfkh69fxhnSNrgvTEBp,"Maisie Peters",12B,GBAHS1800325
23,"Gangster Of Love","Johnny  Guitar  Watson",0,123,"blues","Blues","Gangster Of Love",1978-00-00,02:53,73,23,42,0,94,40,10,-13,C Major,3,2021-08-09,7JVhyzULw7gxhThCtELAyJ,"King Records",8B,USACU0502208
24,"Her Life","Two Feet",56,90,"indie poptimism, modern rock","Pop, Rock","First Steps",2016-07-29,02:48,74,42,29,53,15,0,10,-11,C Major,4,2021-08-09,3lML37ujKr8GdxQqCYkCoz,"Majestic Casual Records",8B,DEVF11600017
25,"I Wanna (One Dance) With Somebody","Chris Mann",19,99,"","","I Wanna (One Dance) With Somebody",2017-04-21,03:45,71,58,51,0,63,0,10,-6,D Major,4,2021-08-09,1QlMqBEvlYAdrfnftLj38K,"Dropped Entertainment",10B,TCACZ1735987
26,"Now and Later","Sage The Gemini",51,107,"hyphy, pop rap, southern hip hop, trap","Hip Hop","Morse Code",2017-07-21,03:13,78,57,27,0,86,10,20,-6,B Minor,4,2021-08-09,08WPvDEsHvTFuB9w8tC2OS,"Global Gemini",10A,USAT21702430
27,"Grandma's Hands","Meg Mac",16,78,"australian indie","Electronic","MEG MAC",2015-03-23,04:03,56,48,0,0,19,0,20,-8,G Major,4,2021-08-09,016jMrTAKPT7Xu6X19xdTM,"300 Entertainment/Littlebigman Records",9B,QMCE31500222
28,"rEaR vIeW","ZAYN",49,96,"pop, uk pop","Pop","Mind Of Mine (Deluxe Edition)",2016-03-25,03:21,72,61,61,0,69,0,10,-5,A Minor,4,2021-08-09,6LWS6iYUZKYHNl2VwNytpo,"RCA Records Label",8A,USRC11600391
29,"Let It Go","James Bay",64,147,"neo mellow, pop, uk pop","Folk/Acoustic, Pop","Chaos And The Calm",2015-03-23,04:20,54,31,82,0,25,0,10,-10,C♯/D♭ Major,4,2021-08-09,13HVjjWUZFaWilh2QUJKsP,"Universal Records",3B,USUM71405265
30,"Mean It","Lauv,LANY",1,96,"pop, la pop, opm","Pop","~how i'm feeling~",2020-03-06,03:52,75,45,4,0,34,0,10,-9,G Major,4,2021-08-09,3uc8AGNL0KbvISIrjnfRvN,"Lauv",9B,GBKPL1969288
31,"6's to 9's","Big Wild,Rationale",61,95,"vapor soul, uk contemporary r&b","R&B","Superdream",2019-02-01,03:26,71,66,14,0,64,0,20,-6,G#/A♭ Major,4,2021-08-09,4DAaQ5InUO23d8yNRbB0Yj,"Counter Records",4B,GBCFB1800325
