#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
26,"Sex in the City","Cody Kahmar",5,97,"","","Sex in the City",2013-02-14,04:08,74,70,3,0,56,0,30,-7,A Minor,4,2023-10-30,7c3KBonIkNGqPtdaMQRQju,"My World Entertainment, LLC",8A,QMJTP1200005
27,"Feelings","Lauv",65,103,"pop","Pop","~how i'm feeling~",2020-03-06,03:09,70,39,6,0,24,0,0,-9,A Major,4,2023-10-30,6r3duEAfFTH83DuoywkG20,"Lauv",11B,GBKPL1966988
28,"Something About You (with Rudimental)","Elderbrook,Rudimental",47,107,"uk dance, pop dance, uk funky","Electronic","Something About You (with Rudimental)",2019-08-09,03:23,77,61,56,0,66,10,10,-6,F#/G♭ Minor,4,2023-10-30,3hYdai5p5sQ3vAmHQ6uaK6,"Parlophone UK",11A,GBAYE1900696
29,"Working For The Weekend (feat. bbno$)","MAX,bbno$",37,101,"singer-songwriter pop, teen pop, viral pop, canadian hip hop, dark trap, meme rap","Hip Hop, Pop","Working For The Weekend (feat. bbno$)",2020-09-04,02:45,86,57,22,0,76,20,10,-6,B Minor,4,2023-10-30,3hFJCuaWDiHhgEtcXDrRjW,"Colour Vision Records/Sony Music Entertainment",10A,USQX92000868
30,"Thong Song","Amber Mark",38,98,"alternative r&b, indie soul, nyc pop","R&B, Pop","Thong Song",2020-08-21,03:31,68,42,31,0,29,10,10,-10,F#/G♭ Minor,4,2023-10-30,52dyJ3VDZFuvTKH95UGwa2,"EMI",11A,GBUM72002659
31,"Give a Little (feat. Naila)","Ash,Naila",50,93,"arab electronic, ","Electronic","Give a Little (feat. Naila)",2018-01-30,03:54,66,58,46,0,76,0,10,-8,D#/E♭ Minor,4,2023-10-30,5TjdmkuqqjkyIIVuDqyFPE,"Ash",2A,QZARB1804671
32,"Underdog","Alicia Keys",59,90,"neo soul, pop, r&b","R&B, Pop","ALICIA",2020-12-18,03:24,66,73,54,0,28,0,10,-5,C Minor,4,2023-10-30,7FsAFw1oZeTJUZmIzSh0cg,"RCA Records Label",5A,USRC11903811
33,"Locked Away (feat. Adam Levine)","R. City,Adam Levine",76,118,"reggae fusion, virgin islands reggae, deep talent show","Country, Pop","What Dreams Are Made Of",2015-10-09,03:47,51,67,30,0,55,0,0,-6,C♯/D♭ Major,5,2023-10-30,7x5xYW5W42OGPAdHUyyguy,"Kemosabe Records/RCA Records",3B,USRC11501369
34,"Brooklyn","Patrick Droney",43,100,"nashville singer-songwriter","Country","Patrick Droney",2019-04-12,03:47,63,59,60,1,51,0,60,-9,B Major,4,2023-10-30,0gvGXQK14CIGLssQhruY8E,"Warner Records",1B,GBKPL1813868
35,"Dancing With A Stranger (with Normani)","Sam Smith,Normani",69,103,"pop, uk pop, r&b","Pop, R&B","Dancing With A Stranger (with Normani)",2019-01-11,02:51,74,52,45,0,35,0,20,-8,G#/A♭ Major,4,2023-10-30,6Qs4SXO9dwPj5GKvVOv8Ki,"PLG - Capitol",4B,GBUM71807386
36,"Lavender Haze","Taylor Swift",74,97,"pop","Pop","Midnights",2022-10-21,03:22,74,45,23,0,10,0,10,-11,G Minor,4,2023-10-30,5jQI2r1RdgtuT8S3iG8zFC,"Taylor Swift",6A,USUG12205734
37,"Lose Control / Let Me Down","Keri Hilson",37,91,"dance pop, hip pop, r&b, urban contemporary","Pop, R&B, Hip Hop","No Boys Allowed (All International Partners Deluxe Version)",2010-01-01,04:49,68,73,53,0,45,0,10,-4,F Major,4,2023-10-30,4ymZUCAf5qTenKxeOfRSB5,"Mosley / Interscope",7B,USUM71028781
38,"Clothes Off - Single Version","Ria Mae",31,95,"canadian pop","Pop","Ria Mae",2014-00-00,03:23,64,72,14,0,60,10,30,-7,B Minor,4,2023-10-30,798pGLPSM0Sxy94AESVd6s,"Sony Music Canada",10A,CA5LP1501012
39,"nuh uh","Jades Goudreault",51,98,"la pop","Pop","Motel 6 (Bonus Track)",2021-01-06,02:31,93,59,5,0,57,10,0,-3,C♯/D♭ Major,4,2023-10-30,2tigH2DP65aAzAlyAFNoRZ,"Jades Goudreault",3B,QZNWY2019923
40,"Bang Bang","Fedde Le Grand,22Bullets",36,103,"dutch house, edm, electro house, house, pop dance, progressive electro house, progressive house, sky room, slap house","Electronic","Bang Bang",2021-01-22,02:23,76,65,3,2,36,0,0,-6,C♯/D♭ Major,4,2023-10-30,50v0Mz0cnt4FY0LFPi5SGV,"Chérie Amour Productions",3B,FR9W12035689
41,"Mad Love","Mabel",60,198,"pop, uk pop","Pop","High Expectations",2019-08-02,02:49,62,80,66,0,61,20,10,-3,C Minor,4,2023-10-30,6ImEBuxsbuTowuHmg3Z2FO,"Polydor Records",5A,GBUM71902039
