#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
23,"LET YOU BE RIGHT","Meghan Trainor",39,105,"hip pop, pop","Pop","LET YOU BE RIGHT",2018-05-11,02:56,82,61,3,0,57,10,0,-5,C Major,4,2024-10-22,28nrOocj11pS0UVH2VM6b5,"Epic",8B,USSM11804288
24,"Appreciation","Terror Jr",25,95,"alt z, electropop, indie poptimism, metropopolis","Pop, Electronic","Bop City 2: TerroRising",2017-06-16,03:15,79,45,16,8,16,0,20,-10,G#/A♭ Major,4,2024-10-22,5fLQc20moFC85nVPSbLxc5,"EFFESS",4B,USAT21701339
25,"Bubble Gum","VAX,Sorana",35,120,"romanian pop","Pop","Bubble Gum",2018-05-04,02:21,60,62,13,0,32,0,30,-5,D Major,5,2024-10-22,6jqoY5HKd5CagZV5lcxdU2,"A-P Records",10B,SE5W31800104
26,"Sit Still, Look Pretty","Daya",17,91,"alt z, pop","Pop","Hide Away",2024-06-14,03:27,85,73,29,0,72,10,40,-4,D Major,4,2024-10-22,3xl2SxS3rkZz5fswYPf9RP,"Artbeatz",10B,QM3EH1500005
27,"A LOT","John K",45,91,"singer-songwriter pop","Pop","A LOT",2022-01-14,03:01,90,39,60,0,55,0,10,-9,F Major,4,2024-10-22,1cRY1p6f4k8B1fGt7hnP5H,"Epic",7B,USSM12109415
28,"One Call Away","Charlie Puth",64,91,"pop, viral pop","Pop","Nine Track Mind",2016-01-29,03:14,67,61,40,0,47,0,10,-5,C♯/D♭ Major,4,2024-10-22,37R0bQOQj5a7DOqh1TGzvB,"Artist Partner",3B,USAT21502703
29,"Chandelier","Anne Sila",16,174,"comedie musicale, french pop","Pop","Amazing Problem (Deluxe)",2016-12-16,03:30,39,48,48,0,13,10,40,-5,G Minor,4,2024-10-22,1Fxoyd2idZqZBcKdhSf72S,"Universal Music Division Decca Records France",6A,FR9W11523346
30,"Sideways","Marian Hill",22,172,"electropop","Pop","Unusual",2018-05-11,03:53,53,11,92,0,24,0,10,-13,B Major,3,2024-10-22,7gcaFO43gzlBELx9gs6fZR,"Photo Finish / Republic Records",1B,USUM71802698
31,"On Our Knees (feat. R.O)","Konoba,R.O",23,87,"belgian pop","Pop","On Our Knees (feat. R.O)",2015-10-12,04:43,58,32,90,5,29,0,10,-11,C♯/D♭ Minor,4,2024-10-22,42bbBGjIfPlhl42MXYzVsz,"Konoba",12A,BEDY11500005
32,"Postcards in the Sky","David Archuleta",21,86,"idol, lds youth, post-teen pop","Pop","Postcards in the Sky",2017-10-20,03:46,62,56,4,0,41,0,10,-7,A#/B♭ Major,4,2024-10-22,3D47LDGgt14vVllOnGJfyU,"Archie Music / Tone Tree Music",6B,TCADG1789208
33,"Mockingbird","Enisa",57,85,"","","Mockingbird",2023-06-09,04:10,73,74,13,0,48,0,10,-4,E Minor,4,2024-10-22,3A7P4Qbn9x14OsEHbBkebl,"Atlantic/Highbridge The Label",9A,USAT22305746
