#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
42,"I am not a woman, I'm a god","Halsey",50,180,"electropop, etherpop, indie poptimism, pop","Pop","If I Can’t Have Love, I Want Power",2021-08-27,02:56,52,70,0,4,52,0,0,-7,F#/G♭ Minor,4,2024-10-06,3XKjZcgNYtvCmBpE1nX7Wn,"Capitol Records",11A,USUM72106132
43,"Beg","Jack & Jack",37,90,"pop, teen pop","Pop","Beg",2017-11-17,03:03,86,38,47,0,62,10,10,-8,G#/A♭ Major,4,2024-10-06,2YXEabNsLoihw7kBtiQpSa,"Jack and Jack, LLC/Island",4B,USUM71711873
44,"Dust My Broom","Etta James",35,98,"jazz blues, soul, soul blues, torch song, vocal jazz","Blues, R&B, Jazz","Blues To The Bone",2004-06-06,03:35,53,64,4,0,69,0,20,-8,D Major,4,2024-10-06,7ab9T50hNO7ULa2pvtcjjZ,"RCA Victor",10B,USV110400143
45,"Love Is Back","Celeste",46,98,"british soul","R&B","Love Is Back",2020-12-31,04:16,68,65,26,0,59,0,30,-5,E Minor,4,2024-10-06,2xAffWASC4yddor8wW037Z,"Polydor Records",9A,GBUM72000458
46,"Young & Naïve","Heather Rigdon",62,108,"contemporary vocal jazz","Jazz","Young & Naïve",2007-01-01,02:49,76,25,78,0,44,0,0,-13,F#/G♭ Minor,4,2024-10-06,1D3PYfMWwkiHXzAr1eXFH9,"Cliff Goldmacher Music Production",11A,USTC30772875
47,"Chateau - Holmsey Remix","Angus & Julia Stone,Holmsey",15,101,"australian indie folk, indie folk, ","Folk/Acoustic","Chateau (Holmsey Remix)",2018-12-21,04:00,73,58,70,2,37,0,0,-11,A#/B♭ Major,4,2024-10-06,3EghVyBVEqQegHZNP9ACz9,"Vertigo Berlin",6B,CAN111800382
48,"Shatterproof","Nick Schilder",8,99,"dutch pop","Pop","Shatterproof",2023-05-26,02:29,67,53,61,0,27,0,20,-9,F#/G♭ Major,4,2024-10-06,4kqgJ4s0vL1SIMWYwAVNvc,"Kontor Records",2B,NLF712303527
49,"slow summer","Zachary Knowles",43,90,"bedroom soul, chill pop, singer-songwriter pop","R&B, Pop","slow summer",2020-08-14,02:48,66,43,82,0,46,0,20,-9,F Major,4,2024-10-06,4JEGeqPF0RH7oi1lHdtbK6,"FADER Label",7B,US4HB2000180
50,"Sunset Lover","Petit Biscuit",64,91,"new french touch","Electronic","Sunset Lover",2015-00-00,03:57,78,47,73,81,24,0,10,-9,F#/G♭ Major,4,2024-10-06,0hNduWmlWmEmuwEFcYvRu1,"Petit Biscuit",2B,FRX451599796
51,"Blinding Lights","A Girl Named Sue,JPL,Tora",34,96,"australian electropop, indie soul","Pop, R&B","Blinding Lights",2023-09-15,02:16,62,48,65,0,77,0,10,-10,C Minor,4,2024-10-06,4e3fsM47VUerGVtwYYanJt,"JPL Records",5A,DGA092308978
