#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
22,"Today - Radio Mix","Richard Bahericz,Brieuc,Romy Dya",18,124,"belgian edm, dutch pop","Electronic, Pop","Today",2020-09-18,03:03,42,80,1,0,24,0,0,-6,D Minor,4,2022-04-26,0ipqagSQ4lnCYpAqbD77pe,"Talinc Records",7A,NL2YY2000027
23,"Today - Extended","Richard Bahericz,Brieuc,Romy Dya",0,124,"belgian edm, dutch pop","Electronic, Pop","Today",2020-09-18,04:33,62,86,0,0,42,0,0,-7,D Major,4,2022-04-26,1EwbovYzJs4YoPQFKO2gdZ,"Talinc Records",10B,NL2YY2000028
24,"Better Late","Highup,Brieuc",1,116,"covertronica, belgian edm","Electronic","Better Late",2020-09-18,02:25,58,76,18,0,23,20,50,-5,G Major,3,2022-04-26,6omQGJZQt5kW047IcEeMre,"Generation Smash",9B,BEIW12000331
25,"With You","Brieuc,Cloud 41",1,124,"belgian edm, ","Electronic","With You",2020-08-28,03:00,67,66,29,0,43,0,10,-9,F#/G♭ Minor,4,2022-04-26,18RsItl1AP4RyhW6A0sdqR,"BRING THE KINGDOM",11A,NL1ZN2000416
26,"Keep Me","Cloud 41,Brieuc,FRVMES",0,126,"belgian edm, ","Electronic","Keep Me",2020-08-14,02:28,70,79,6,0,68,0,20,-6,A Minor,4,2022-04-26,1o2nDPRAyBzjKmrFoBhWRl,"Gemstone Records",8A,NLQ8D2000556
27,"Takeover","Brieuc,Cassidy Mackenzie",2,122,"belgian edm, ","Electronic","Takeover",2020-07-24,02:33,54,91,7,0,13,0,80,-6,F Minor,4,2022-04-26,3zNtN8lP1eeD25n7GVt9P7,"Dirty Dutch Music",4A,GB9VV2000018
28,"Lovin","Royal Riviera,Brieuc,Romy Dya",0,124,"belgian edm, dutch pop","Electronic, Pop","Lovin",2020-07-03,02:47,72,74,2,5,76,20,0,-6,F Minor,4,2022-04-26,5tD7vwyHORo8hXxKp1Ioe1,"Generation Smash",4A,BEIW12000190
29,"Space Star","Heyder,Brieuc",21,125,"belgian edm","Electronic","Space Star",2020-06-12,03:29,66,89,0,0,16,0,20,-7,C Minor,4,2022-04-26,5hW31SfM3OU1uSJKDDj9kQ,"One Seven",5A,DK4YA2070301
30,"Fire In My Heart","Brieuc,Tim Lights",8,126,"belgian edm, ","Electronic","Fire In My Heart",2020-05-08,02:13,75,91,1,0,36,0,30,-6,G#/A♭ Minor,4,2022-04-26,6POBla7qJNG70Hj0kAKVGG,"One Seven",1A,DK4YA2007701
31,"Walk Away","Ben Ambergen,Brieuc",0,126,"big room, belgian edm","Electronic","Walk Away",2020-05-01,02:09,79,82,1,3,56,10,10,-6,F Minor,4,2022-04-26,4z3WLYT1zny8bqzdn9lmHN,"Fanfare Records",4A,DEWW42000134
