Track Name,Artist Name(s),Index,Starting energy,Ending energy,BPM,Genres,Acousticness,Difficulty,Familiarity,Transition type,Notes,Set,DJ
Purple Hat,Sofi Tukker,,,,,,,,,,,June 16 2023,Connie Wang
So Pretty,"Reyanna Maria,Tyga",,,,,,,,,,,June 16 2023,Connie Wang
Keep It Simple,Anthony Russo,,,,,,,,,,,June 16 2023,Connie Wang
Hush - Still Woozy Remix,"The Marías,Still Woozy",,,,,,,,,,,June 16 2023,Connie Wang
Built For Comfort,Dion,,,,,,,,,,,June 16 2023,Connie Wang
DNA,"Bo Baskoro,Justin Abel",,,,,,,,,,,June 16 2023,Connie Wang
Walk That Walk,"Bakermat,Nic Hanson",,,,,,,,,,,June 16 2023,Connie Wang
Five More Minutes,Jonas Brothers,,,,,,,,,,,June 16 2023,Connie Wang
In Between,whatever mike,,,,,,,,,,,June 16 2023,Connie Wang
All or Nothing,Ripe,,,,,,,,,,,June 16 2023,Connie Wang
Lone Digger,Caravan Palace,,,,,,,,,,,June 16 2023,Connie Wang
Nuttin' But Love,Heavy D & The Boyz,,,,,,,,,,,June 16 2023,Connie Wang
Lost,Blake Rose,,,,,,,,,,,June 16 2023,Connie Wang
Aliens Need Love Too,"Phlake,Mercedes the Virus",,,,,,,,,,,June 16 2023,Connie Wang
Faded,Izzy Bizu,,,,,,,,,,,June 16 2023,Connie Wang
"Independent Women, Pt. 1",Destiny's Child,,,,,,,,,,,June 16 2023,Connie Wang
Next Big Thing,West Rose,,,,,,,,,,,June 16 2023,Connie Wang
Still in da Disco - Maga Remix,"HEDEGAARD,Maga",,,,,,,,,,,June 16 2023,Connie Wang
Go Crazy,"Bray Brown,Chris Mayz",,,,,,,,,,,June 16 2023,Connie Wang
Johnnie Walker,Spritely,,,,,,,,,,,June 16 2023,Connie Wang
One Man Show,Ariana Savalas,,,,,,,,,,,June 16 2023,Connie Wang
Sho Nuff,Leon Bridges,,,,,,,,,,,June 16 2023,Connie Wang
Black Velvet,Alannah Myles,,,,,,,,,,,June 16 2023,Connie Wang
AFU,CAL,,,,,,,,,,,June 16 2023,Connie Wang
Vibe,Mullally,,,,,,,,,,,June 16 2023,Connie Wang
u turn me on (but u give me depression),LØLØ,,,,,,,,,,,June 16 2023,Connie Wang
Supermagic,Ellery Bonham,,,,,,,,,,,June 16 2023,Connie Wang
That's The Way Love Goes,Janet Jackson,,,,,,,,,,,June 16 2023,Connie Wang
Shivers,OSIS,,,,,,,,,,,June 16 2023,Connie Wang
坏蛋,"叶琼琳,褚晨茜",,,,,,,,,,,June 16 2023,Connie Wang
Stand and Deliver,Patrick Droney,,,,,,,,,,,June 16 2023,Connie Wang
Escapism.,"RAYE,070 Shake",,,,,,,,,,,June 16 2023,Connie Wang
Christina's Song,MAX,,,,,,,,,,,June 16 2023,Connie Wang
Vigilante Shit,Taylor Swift,,,,,,,,,,,June 16 2023,Connie Wang
i don't wanna party,mike.,,,,,,,,,,,June 16 2023,Connie Wang
"(Sittin' On) The Dock of the Bay - Live At The Fillmore, San Francisco, CA - July 2008",Sara Bareilles,,,,,,,,,,,June 16 2023,Connie Wang
All Too Well (Taylor's Version),Taylor Swift,,,,,,,,,,,Aug 16 2023,Connie Wang
Run Through Fire,Pink Sweat$,,,,,,,,,,,Aug 16 2023,Connie Wang
Meant To Be,"Ber,Charlie Oriain",,,,,,,,,,,Aug 16 2023,Connie Wang
Bad Girl,Sickick,,,,,,,,,,,Aug 16 2023,Connie Wang
shut up,Greyson Chance,,,,,,,,,,,Aug 16 2023,Connie Wang
Fly Girl (feat. Missy Elliott),"FLO,Missy Elliott",,,,,,,,,,,Aug 16 2023,Connie Wang
Lost In Space,Emmit Fenn,,,,,,,,,,,Aug 16 2023,Connie Wang
9 to 5 (FROM THE STILL WORKING 9 TO 5 DOCUMENTARY),"Kelly Clarkson,Dolly Parton",,,,,,,,,,,Aug 16 2023,Connie Wang
Tricky,"Shoffy,Sabrina Carpenter",,,,,,,,,,,Aug 16 2023,Connie Wang
"Leave (Get Out) - Recorded at Metropolis Studios, London",Anne-Marie,,,,,,,,,,,Aug 16 2023,Connie Wang
Christina's Song,MAX,,,,,,,,,,,Aug 16 2023,Connie Wang
On Fire,JJ Grey & Mofro,,,,,,,,,,,Aug 16 2023,Connie Wang
Better Luck Next Time,Kelsea Ballerini,,,,,,,,,,,Aug 16 2023,Connie Wang
What A Wonderful World,Sofi Tukker,,,,,,,,,,,Aug 16 2023,Connie Wang
Oh My God,Adele,,,,,,,,,,,Aug 16 2023,Connie Wang
AFU,CAL,,,,,,,,,,,Aug 16 2023,Connie Wang
Hey Cowboy,Devon Cole,,,,,,,,,,,Aug 16 2023,Connie Wang
To Die For,Sam Smith,,,,,,,,,,,Aug 16 2023,Connie Wang
Chariot,Mega,,,,,,,,,,,Aug 16 2023,Connie Wang
Fantasy,Mariah Carey,,,,,,,,,,,Aug 16 2023,Connie Wang
Brooklyn,Patrick Droney,,,,,,,,,,,Aug 16 2023,Connie Wang
No Tomorrow,Brandy,,,,,,,,,,,Aug 16 2023,Connie Wang
do u really? (with Ruth B.),"Lyn Lapid,Ruth B.",,,,,,,,,,,Aug 16 2023,Connie Wang
go with u,BAYNK,,,,,,,,,,,Aug 16 2023,Connie Wang
Paris in the Rain,Lauv,,,,,,,,,,,Aug 16 2023,Connie Wang
How Come U Don't Call Me Anymore - 1999 B-Side - 2019 Remaster,Prince,,,,,,,,,,,Aug 16 2023,Connie Wang
Dive,Olivia Dean,,,,,,,,,,,Aug 16 2023,Connie Wang
Forgive Me,"Sofi Tukker,Mahmut Orhan",,,,,,,,,,,Aug 16 2023,Connie Wang
Starboy,"The Weeknd,Daft Punk",,,,,,,,,,,Aug 16 2023,Connie Wang
Savage (Nightcore Remix),"Bahari,Nightcore",,,,,,,,,,,Aug 16 2023,Connie Wang
Orion's Belt,Sabrina Claudio,,,,,,,,,,,Aug 16 2023,Connie Wang
Dust My Broom,Etta James,,,,,,,,,,,Aug 16 2023,Connie Wang
If It Feels Good (Then It Must Be),Leon Bridges,,,,,,,,,,,Aug 16 2023,Connie Wang
Jet Black (feat. Brandy),"Anderson .Paak,Brandy",,,,,,,,,,,Aug 16 2023,Connie Wang
Poison,NEZZA,,,,,,,,,,,Aug 16 2023,Connie Wang
Money,Leikeli47,,,,,,,,,,,Aug 16 2023,Connie Wang
Black Velvet,Alannah Myles,,,,,,,,,,,Aug 16 2023,Connie Wang
Club Thing,Yoav,,,,,,,,,,,Aug 16 2023,Connie Wang
Do Me Like A Drug,Emmanuel Franco,,,,,,,,,,,Aug 16 2023,Connie Wang
Pretty Please,Dua Lipa,,,,,,,,,,,Aug 16 2023,Connie Wang
just the two of us,Avenue Beat,,,,,,,,,,,Aug 16 2023,Connie Wang
Shoop,Salt-N-Pepa,,,,,,,,,,,Aug 16 2023,Connie Wang
I'd Rather Drink Muddy Water,Marc Broussard,,,,,,,,,,,Aug 16 2023,Connie Wang
Lie,Sasha Alex Sloan,,,,,,,,,,,Aug 16 2023,Connie Wang
Mind Over Matter,Anthony Ramos,,,,,,,,,,,Aug 16 2023,Connie Wang
Why Don't You Do Right,"Beth Hart, Joe Bonamassa",,,,,,,,,,,Aug 16 2023,Connie Wang
Confetti,Charlotte Cardin,,,,,,,,,,,Aug 16 2023,Connie Wang
Nice to Meet Ya (feat. Nicki Minaj),"Meghan Trainor,Nicki Minaj",,,,,,,,,,,Aug 16 2023,Connie Wang
Show Up,Aiza,,,,,,,,,,,Aug 16 2023,Connie Wang
The Devil,BANKS,,,,,,,,,,,Aug 16 2023,Connie Wang
mas queso,FLOYD WONDER,,,,,,,,,,,Aug 16 2023,Connie Wang
"Head On Fire (feat. Sigrid, King Princess and MØ)","Griff,King Princess,MØ,Sigrid",,,,,,,,,,,Aug 16 2023,Connie Wang
My Game,Deluxe,,,,,,,,,,,Aug 16 2023,Connie Wang
Working For The Weekend (feat. bbno$),"MAX,bbno$",,,,,,,,,,,Sept 21 2023,Connie Wang
D Is For Denny,Kirk Fletcher,,,,,,,,,,,Sept 21 2023,Connie Wang
U Remind Me - Recorded at Spotify Studios NYC,James TW,,,,,,,,,,,Sept 21 2023,Connie Wang
Bloodstream,Ed Sheeran,,,,,,,,,,,Sept 21 2023,Connie Wang
Candy Rain,Soul For Real,,,,,,,,,,,Sept 21 2023,Connie Wang
Fly Girl (feat. Missy Elliott),"FLO,Missy Elliott",,,,,,,,,,,Sept 21 2023,Connie Wang
Butterflies,James TW,,,,,,,,,,,Sept 21 2023,Connie Wang
Stand and Deliver,Patrick Droney,,,,,,,,,,,Sept 21 2023,Connie Wang
唯一remix,李宜柏PAULYBLEE,,,,,,,,,,,Sept 21 2023,Connie Wang
Push,EquallyOpposite,,,,,,,,,,,Sept 21 2023,Connie Wang
Into You,Ariana Grande,,,,,,,,,,,Sept 21 2023,Connie Wang
Straight Up,Paula Abdul,,,,,,,,,,,Sept 21 2023,Connie Wang
October,Alessia Cara,,,,,,,,,,,Sept 21 2023,Connie Wang
Breathe,Years & Years,,,,,,,,,,,Sept 21 2023,Connie Wang
Dust My Broom,Etta James,,,,,,,,,,,Sept 21 2023,Connie Wang
just the two of us,Avenue Beat,,,,,,,,,,,Sept 21 2023,Connie Wang
"Independent Women, Pt. 1",Destiny's Child,,,,,,,,,,,Sept 21 2023,Connie Wang
Bad Mood - Roger's Nu Solution Vocal,Lonnie Gordon,,,,,,,,,,,Sept 21 2023,Connie Wang
Next Big Thing,West Rose,,,,,,,,,,,Sept 21 2023,Connie Wang
贴贴,"胥睿,杨淳",,,,,,,,,,,Sept 21 2023,Connie Wang
Wanted Man,Mat Kearney,,,,,,,,,,,Sept 21 2023,Connie Wang
Show Up,Aiza,,,,,,,,,,,Sept 21 2023,Connie Wang
Whisper,Ernie Halter,,,,,,,,,,,Sept 21 2023,Connie Wang
my hair,Ariana Grande,,,,,,,,,,,Sept 21 2023,Connie Wang
Chariot,Mega,,,,,,,,,,,Sept 21 2023,Connie Wang
Can't Tell Yah,Laai,,,,,,,,,,,Sept 21 2023,Connie Wang
We Up,NuChoyce,,,,,,,,,,,Sept 21 2023,Connie Wang
Poison,NEZZA,,,,,,,,,,,Sept 21 2023,Connie Wang
Tell Me,Groove Theory,,,,,,,,,,,Sept 21 2023,Connie Wang
Crush On You,Nic Hanson,,,,,,,,,,,Sept 21 2023,Connie Wang
A Natural Man,Lou Rawls,,,,,,,,,,,Sept 21 2023,Connie Wang
All You Had To Do Was Stay,Taylor Swift,,,,,,,,,,,Sept 21 2023,Connie Wang
Chunky,Bruno Mars,,,,,,,,,,,Sept 21 2023,Connie Wang
Light On,Maggie Rogers,,,,,,,,,,,Sept 21 2023,Connie Wang
You Shook Me All Night Long - Acoustic,Kaiak,,,,,,,,,,,Sept 21 2023,Connie Wang
Don't You,Sickick,,,,,,,,,,,Sept 23 2023,Connie Wang
Black Mamba,aespa,,,,,,,,,,,Sept 23 2023,Connie Wang
Got to Be Real - Single Version,Cheryl Lynn,,,,,,,,,,,Sept 23 2023,Connie Wang
So Pretty,"Reyanna Maria,Tyga",,,,,,,,,,,Sept 23 2023,Connie Wang
365&7 (Feat. JAMIE),"pH-1,JAMIE",,,,,,,,,,,Sept 23 2023,Connie Wang
Can We Be Friends?,Claire Ridgely,,,,,,,,,,,Sept 23 2023,Connie Wang
Coffee,Billy Raffoul,,,,,,,,,,,Sept 23 2023,Connie Wang
Savage (Nightcore Remix),"Bahari,Nightcore",,,,,,,,,,,Sept 23 2023,Connie Wang
Blues Have Been Good to Me,Di Anne Price,,,,,,,,,,,Sept 23 2023,Connie Wang
Paris in the Rain,Lauv,,,,,,,,,,,Sept 23 2023,Connie Wang
Hush - Still Woozy Remix,"The Marías,Still Woozy",,,,,,,,,,,Sept 23 2023,Connie Wang
没有说过的话,Ryan.B,,,,,,,,,,,Sept 23 2023,Connie Wang
nuh uh,Jades Goudreault,,,,,,,,,,,Sept 23 2023,Connie Wang
SexyBack,"Ilkan Gunuc,Clara Stegall",,,,,,,,,,,Sept 23 2023,Connie Wang
How We Do,"The Game,50 Cent",,,,,,,,,,,Sept 23 2023,Connie Wang
Touch My Body,Mariah Carey,,,,,,,,,,,Sept 23 2023,Connie Wang
Savage (feat. Flux Pavilion & MAX),"Whethan,Flux Pavilion,MAX",,,,,,,,,,,Sept 23 2023,Connie Wang
Reckless,Healy,,,,,,,,,,,Sept 23 2023,Connie Wang
Call Your Mom (with Lizzy McAlpine),"Noah Kahan,Lizzy McAlpine",,,,,,,,,,,Sept 23 2023,Connie Wang
AFU,CAL,,,,,,,,,,,Sept 23 2023,Connie Wang
섬찟 (Hypnosis),IVE,,,,,,,,,,,Sept 23 2023,Connie Wang
Lil Mama,Jain,,,,,,,,,,,Sept 23 2023,Connie Wang
Flatline,Two Feet,,,,,,,,,,,Sept 23 2023,Connie Wang
Paint The Town Red,Doja Cat,,,,,,,,,,,Sept 23 2023,Connie Wang
flowers & sex,"EMELINE,smle",,,,,,,,,,,Sept 23 2023,Connie Wang
Supermagic,Ellery Bonham,,,,,,,,,,,Sept 23 2023,Connie Wang
SoulMate (feat. IU),"ZICO,IU",,,,,,,,,,,Sept 23 2023,Connie Wang
Slow Jamz,Max Frost,,,,,,,,,,,Sept 23 2023,Connie Wang
Beyonce,AMARNI,,,,,,,,,,,Sept 23 2023,Connie Wang
The Devil,BANKS,,,,,,,,,,,Sept 23 2023,Connie Wang
do u really? (with Ruth B.),"Lyn Lapid,Ruth B.",,,,,,,,,,,Sept 23 2023,Connie Wang
People,Libianca,,,,,,,,,,,Sept 23 2023,Connie Wang
What Was I Made For?,Billie Eilish,,,,,,,,,,,Sept 23 2023,Connie Wang
Bloody Poetry,Grieves,,,,,,,,,,,Sept 23 2023,Connie Wang
Chuck Taylor,"Connor Price,SIRI",,,,,,,,,,,Sept 23 2023,Connie Wang
omg,Marian Hill,,,,,,,,,,,Sept 23 2023,Connie Wang
reckless driving,"Lizzy McAlpine,Ben Kessler",,,,,,,,,,,Sept 23 2023,Connie Wang
Feel Good,Charlotte Cardin,,,,,,,,,,,Sept 23 2023,Connie Wang
MAMBO,DIRTYXAN,,,,,,,,,,,Sept 23 2023,Connie Wang
Lie,Sasha Alex Sloan,,,,,,,,,,,Sept 23 2023,Connie Wang
Only You,Parson James,,,,,,,,,,,Oct 14 2023,Connie Wang
Bloody Poetry,Grieves,,,,,,,,,,,Oct 14 2023,Connie Wang
Thinkin Bout You,Ciara,,,,,,,,,,,Oct 14 2023,Connie Wang
Sexy Love,Ne-Yo,,,,,,,,,,,Oct 14 2023,Connie Wang
tere bina - Acoustic,"Zaeden,Jonita Gandhi",,,,,,,,,,,Oct 14 2023,Connie Wang
One Man Show,Ariana Savalas,,,,,,,,,,,Oct 14 2023,Connie Wang
This Year,Emily King,,,,,,,,,,,Oct 14 2023,Connie Wang
Feel Good,Charlotte Cardin,,,,,,,,,,,Oct 14 2023,Connie Wang
Nuttin' But Love,Heavy D & The Boyz,,,,,,,,,,,Oct 14 2023,Connie Wang
Shine On,Eric Bibb,,,,,,,,,,,Oct 14 2023,Connie Wang
No Scrubs,TLC,,,,,,,,,,,Oct 14 2023,Connie Wang
Don't Wait,Mapei,,,,,,,,,,,Oct 14 2023,Connie Wang
Meant To Be,"Ber,Charlie Oriain",,,,,,,,,,,Oct 14 2023,Connie Wang
Reckless,Healy,,,,,,,,,,,Oct 14 2023,Connie Wang
I Think He Knows,Taylor Swift,,,,,,,,,,,Oct 14 2023,Connie Wang
Greedy,Ariana Grande,,,,,,,,,,,Oct 14 2023,Connie Wang
How We Do,"The Game,50 Cent",,,,,,,,,,,Oct 14 2023,Connie Wang
SexyBack,"Ilkan Gunuc,Clara Stegall",,,,,,,,,,,Oct 14 2023,Connie Wang
Fire for You,Cannons,,,,,,,,,,,Oct 14 2023,Connie Wang
Over-the-Ocean Call,Lizzy McAlpine,,,,,,,,,,,Oct 14 2023,Connie Wang
go with u,BAYNK,,,,,,,,,,,Oct 14 2023,Connie Wang
Torn,James TW,,,,,,,,,,,Oct 14 2023,Connie Wang
Why Don't You Touch Me,Leon Bridges,,,,,,,,,,,Oct 14 2023,Connie Wang
What Was I Made For?,Billie Eilish,,,,,,,,,,,Oct 14 2023,Connie Wang
i'm so tired...,"Lauv,Troye Sivan",,,,,,,,,,,Oct 14 2023,Connie Wang
Lock Shit Down,"Chali 2na,Talib Kweli",,,,,,,,,,,Oct 14 2023,Connie Wang
Coffee,Billy Raffoul,,,,,,,,,,,Oct 14 2023,Connie Wang
Johnnie Walker,Spritely,,,,,,,,,,,Oct 14 2023,Connie Wang
Passenger Side,Smallpools,,,,,,,,,,,Oct 14 2023,Connie Wang
Dance About It,Meghan Trainor,,,,,,,,,,,Oct 14 2023,Connie Wang
Shoop,Salt-N-Pepa,,,,,,,,,,,Oct 14 2023,Connie Wang
Savage (feat. Flux Pavilion & MAX),"Whethan,Flux Pavilion,MAX",,,,,,,,,,,Oct 14 2023,Connie Wang
Paris in the Rain,Lauv,,,,,,,,,,,Oct 14 2023,Connie Wang
Live High,Jason Mraz,,,,,,,,,,,Oct 14 2023,Connie Wang
Can We Be Friends?,Claire Ridgely,,,,,,,,,,,Oct 14 2023,Connie Wang
Now and Later,Sage The Gemini,,,,,,,,,,,Oct 14 2023,Connie Wang
Warm Whispers,Missy Higgins,,,,,,,,,,,Oct 14 2023,Connie Wang
just the two of us,Avenue Beat,,,,,,,,,,,Nov 1 2023,Connie Wang
Working For The Weekend (feat. bbno$),"MAX,bbno$",,,,,,,,,,,Nov 1 2023,Connie Wang
Roadhouse Blues,The Doors,,,,,,,,,,,Nov 1 2023,Connie Wang
Be Honest (feat. Burna Boy),"Jorja Smith,Burna Boy",,,,,,,,,,,Nov 1 2023,Connie Wang
Money,Leikeli47,,,,,,,,,,,Nov 1 2023,Connie Wang
Lie,Sasha Alex Sloan,,,,,,,,,,,Nov 1 2023,Connie Wang
Bound,Indiana,,,,,,,,,,,Nov 1 2023,Connie Wang
Candy,Kah-Lo,,,,,,,,,,,Nov 1 2023,Connie Wang
Poison,NEZZA,,,,,,,,,,,Nov 1 2023,Connie Wang
Someone Like You (feat. Joy Oladokun),"Noah Kahan,Joy Oladokun",,,,,,,,,,,Nov 1 2023,Connie Wang
Blinding Lights,Loi,,,,,,,,,,,Nov 1 2023,Connie Wang
Fly Girl (feat. Missy Elliott),"FLO,Missy Elliott",,,,,,,,,,,Nov 1 2023,Connie Wang
Lost,Blake Rose,,,,,,,,,,,Nov 1 2023,Connie Wang
Goodies (feat. Petey Pablo),"Ciara,Petey Pablo",,,,,,,,,,,Nov 1 2023,Connie Wang
You're Sexy I'm Sexy,Eric Nam,,,,,,,,,,,Nov 1 2023,Connie Wang
"Piñata (feat. BIA, Kap G & Justin Quiles)","Vice,Kap G,Justin Quiles,BIA",,,,,,,,,,,Nov 1 2023,Connie Wang
Why Don't You Do Right,"Beth Hart, Joe Bonamassa",,,,,,,,,,,Nov 1 2023,Connie Wang
Eyes Closed,Ed Sheeran,,,,,,,,,,,Nov 1 2023,Connie Wang
Do Me Like A Drug,Emmanuel Franco,,,,,,,,,,,Nov 1 2023,Connie Wang
16 Steps,"Martin Jensen,Olivia Holt",,,,,,,,,,,Nov 1 2023,Connie Wang
Next Big Thing,West Rose,,,,,,,,,,,Nov 1 2023,Connie Wang
Numb - Bonus Track,"August Alsina,B.o.B,Yo Gotti",,,,,,,,,,,Nov 1 2023,Connie Wang
Angel Zoo,Phlake,,,,,,,,,,,Nov 1 2023,Connie Wang
crossed the line,Jessica Baio,,,,,,,,,,,Nov 1 2023,Connie Wang
MAMBO,DIRTYXAN,,,,,,,,,,,Nov 1 2023,Connie Wang
Too Well,Reneé Rapp,,,,,,,,,,,Nov 1 2023,Connie Wang
Coke & Henny Pt. 2,Pink Sweat$,,,,,,,,,,,Nov 1 2023,Connie Wang
Flatline,Two Feet,,,,,,,,,,,Nov 1 2023,Connie Wang
Young Love,Falcon,,,,,,,,,,,Nov 1 2023,Connie Wang
boyfriend (with Social House),"Ariana Grande,Social House",,,,,,,,,,,Nov 1 2023,Connie Wang
For Me,Happi,,,,,,,,,,,Nov 1 2023,Connie Wang
WOW - Unplugged,Janine,,,,,,,,,,,Nov 1 2023,Connie Wang
nuh uh,Jades Goudreault,,,,,,,,,,,Nov 1 2023,Connie Wang
Naughty Girl,Beyoncé,,,,,,,,,,,Nov 1 2023,Connie Wang
bury a friend,Billie Eilish,,,,,,,,,,,Nov 1 2023,Connie Wang
do u really? (with Ruth B.),"Lyn Lapid,Ruth B.",,,,,,,,,,,Nov 1 2023,Connie Wang
AFU,CAL,,,,,,,,,,,Nov 1 2023,Connie Wang
Sophisticated Lady,Mýa,,,,,,,,,,,Nov 1 2023,Connie Wang
Walk That Walk,"Bakermat,Nic Hanson",,,,,,,,,,,Nov 1 2023,Connie Wang
Feel Good,Charlotte Cardin,,,,,,,,,,,Nov 1 2023,Connie Wang
Light On,Maggie Rogers,,,,,,,,,,,Nov 1 2023,Connie Wang
Lose My Cool - Franc Moody Remix,"Amber Mark,Franc Moody",,,,,,,,,,,Nov 1 2023,Connie Wang
My Oh My (feat. DaBaby),"Camila Cabello,DaBaby",,,,,,,,,,,Nov 1 2023,Connie Wang
Bonbon,Era Istrefi,,,,,,,,,,,Nov 1 2023,Connie Wang
Messy,Kiiara,,,,,,,,,,,Nov 1 2023,Connie Wang
In Between,whatever mike,,,,,,,,,,,Nov 1 2023,Connie Wang
Secret - Demo,Maroon 5,,,,,,,,,,,Nov 1 2023,Connie Wang
i don't wanna party,mike.,,,,,,,,,,,Nov 1 2023,Connie Wang
Call Your Mom (with Lizzy McAlpine),"Noah Kahan,Lizzy McAlpine",,,,,,,,,,,Nov 1 2023,Connie Wang
omg,Marian Hill,,,,,,,,,,,Nov 1 2023,Connie Wang
Trade it for the Night - Single Version,HAEVN,,,,,,,,,,,Nov 1 2023,Connie Wang
Boyfriend,Mabel,,,,,,,,,,,Nov 18 2023,Connie Wang
Black Velvet,Alannah Myles,,,,,,,,,,,Nov 18 2023,Connie Wang
BILLIE EILISH.,Armani White,,,,,,,,,,,Nov 18 2023,Connie Wang
Hit 'Em Up Style (Oops!),Blu Cantrell,,,,,,,,,,,Nov 18 2023,Connie Wang
Hometown Girl,ZHU,,,,,,,,,,,Nov 18 2023,Connie Wang
Christina's Song,MAX,,,,,,,,,,,Nov 18 2023,Connie Wang
Breathin',Asylum Street Spankers,,,,,,,,,,,Nov 18 2023,Connie Wang
Cruel Summer,Taylor Swift,,,,,,,,,,,Nov 18 2023,Connie Wang
Lips Don't Lie (feat. A Boogie Wit da Hoodie) - R3HAB Remix,"Ally Brooke,A Boogie Wit da Hoodie,R3HAB",,,,,,,,,,,Nov 18 2023,Connie Wang
Lil Boo Thang,Paul Russell,,,,,,,,,,,Nov 18 2023,Connie Wang
Boom Sh-Boom,Martin Sexton,,,,,,,,,,,Nov 18 2023,Connie Wang
Light On,Maggie Rogers,,,,,,,,,,,Nov 18 2023,Connie Wang
Breathe,Years & Years,,,,,,,,,,,Nov 18 2023,Connie Wang
唯一remix,李宜柏PAULYBLEE,,,,,,,,,,,Nov 18 2023,Connie Wang
Let There Be Drums,"Feder,UPSAHL",,,,,,,,,,,Nov 18 2023,Connie Wang
Pretty Please,Dua Lipa,,,,,,,,,,,Nov 18 2023,Connie Wang
mas queso,FLOYD WONDER,,,,,,,,,,,Nov 18 2023,Connie Wang
"Head On Fire (feat. Sigrid, King Princess and MØ)","Griff,King Princess,MØ,Sigrid",,,,,,,,,,,Nov 18 2023,Connie Wang
Tainted Love,"Trinix,Queen D",,,,,,,,,,,Nov 18 2023,Connie Wang
Brooklyn,Patrick Droney,,,,,,,,,,,Nov 18 2023,Connie Wang
Sho Nuff,Leon Bridges,,,,,,,,,,,Nov 18 2023,Connie Wang
Can We Be Friends?,Claire Ridgely,,,,,,,,,,,Nov 18 2023,Connie Wang
If I Wrote You a Song,"Rubber Band,Grant Trammel",,,,,,,,,,,Nov 18 2023,Connie Wang
Sure Thing,Miguel,,,,,,,,,,,Nov 18 2023,Connie Wang
SloMo,Chanel,,,,,,,,,,,Nov 18 2023,Connie Wang
Come on over Baby (All I Want Is You) - Radio Version,Christina Aguilera,,,,,,,,,,,Nov 18 2023,Connie Wang
Feelin' Myself,"will.i.am,Miley Cyrus,French Montana,Wiz Khalifa,Mustard",,,,,,,,,,,Nov 18 2023,Connie Wang
Semblant,Laurence Nerbonne,,,,,,,,,,,Nov 18 2023,Connie Wang
CHARGER (ft. Charli XCX),"ELIO,Charli XCX",,,,,,,,,,,Nov 18 2023,Connie Wang
Missing You,Betty Who,,,,,,,,,,,Nov 18 2023,Connie Wang
Streetlights on Mars,Jackson Penn,,,,,,,,,,,Nov 18 2023,Connie Wang
Santorini Coffee,melvitto,,,,,,,,,,,Nov 18 2023,Connie Wang
Bad Girl,Sickick,,,,,,,,,,,Nov 18 2023,Connie Wang
Afire Love,Ed Sheeran,,,,,,,,,,,Nov 18 2023,Connie Wang
Somebody Else - Alt Edit,The 1975,,,,,,,,,,,Nov 18 2023,Connie Wang
Drunk (And I Don't Wanna Go Home),"Elle King,Miranda Lambert",,,,,,,,,,,Nov 18 2023,Connie Wang
Love U Like That,Lauv,,,,,,,,,,,Nov 18 2023,Connie Wang
This City Remix (feat. Anne-Marie),"Sam Fischer,Anne-Marie",,,,,,,,,,,Nov 18 2023,Connie Wang
