Artist,Song,notes,note_source
Noah Guthrie,Sexy And I Know It,2012-06-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
B-Tribe,Sometimes,Top Picks: Greg Wolf,GSDJ - https://proswingdjs.com/
Jain,Lil Mama,Top Picks: Ruby Lair,GSDJ - https://proswingdjs.com/
Glass Animals,Space Ghost Coast to Coast,Top Picks: Thomas Friess,GSDJ - https://proswingdjs.com/
Charlie Puth,How Long,2017-11-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Lou Rawls,All Around The World,GSDJ Top 25 Fast “Blues”,GSDJ - https://proswingdjs.com/
Clean Bandit & Demi Lovato,Solo,2018-06-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Jennifer Lopez,Dance Again,2012-05-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Taylor Swift,Last Christmas,2009-12-01Holiday themed list,GSDJ - https://proswingdjs.com/
Ed Sheeran,Beautiful People Ft Khalid,2019-09-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
MAX,Christina’s Song,Top Picks: Thomas Friess,GSDJ - https://proswingdjs.com/
India Arie,Back to the Middle,Top Picks: Rob Baen,GSDJ - https://proswingdjs.com/
Jason Derulo,It Girl,2011-10-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Ce’Cile,OK Without You,Top Picks: Sam Ghaida,GSDJ - https://proswingdjs.com/
Kenny Blues Boss Wayne,Wild Turkey 101 Proof,2012-10-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Austin Mahone,Dirty Work,2015-09-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Jake Scott,Like This,2020-01-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Grieves,On The Rocks,2013-02-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Rita Ora,Anywhere,2017-11-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Amber Mark,Mixer,Top Picks: Kaiano Levine,GSDJ - https://proswingdjs.com/
Mic Lowry,Oh Lord,2017-01-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Grace Gaustad,Sandman,Top Picks: Kaiano Levine,GSDJ - https://proswingdjs.com/
Heritage Blues Orchestra,Don’t Let nobody Drag Your Spirit Down,2012-05-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Zayn,Rainberry,2019-01-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Anthony Hamilton,Freedom,2013-01-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Elderbrook Ft. Rudimental,Something About You,2019-11-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Carly Rae Jepsen,Call Me Maybe,2012-05-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Pink,Try,2012-12-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
JRDN Ft Kardinall Offishall,Can’t Choose,2013-10-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Justin Timberlake,Suit & Tie (No Rap),2013-02-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Dion,I Ain’t For It,2017-09-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Pharrell Williams,Happy (Nexus Remix),2014-06-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Strong Asian Mothers,Don’t Let Go,2018-02-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Ciara,Thinkin Bout You,Top Picks: Kerrin Pollock,GSDJ - https://proswingdjs.com/
Leo Stannard & Frances,Gravity,2018-01-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
