Artist,Song,notes,note_source
Banks,Beggin For Thread,2015-07-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Marvin & Miles,Gare Du Nord,2009-10-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Tyler Ward & Lindsey Stirling,Thrift Shop,2013-07-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Elderbrook,Woman,2017-10-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Chris Brown,Fine China,2013-05-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Lenachka,Good Luck,2016-05-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Kaci Brown,My Baby,2011-11-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Tove Lo,Talking Body,2015-04-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Jhameel,Feisty,2014-01-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Jaxson Gamble,Fresh,2024-08-01GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Bobby Brown,My Prerogative,Top Picks: Martin Lahmann,GSDJ - https://proswingdjs.com/
Pentatonix,Misbehavin,2015-12-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Khalid,Better,Top Picks: Liz Ravdin,GSDJ - https://proswingdjs.com/
Madonna,Santa Baby,2009-12-01Holiday themed list,GSDJ - https://proswingdjs.com/
Disclose Ft Sam Smith,Omen,2015-09-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Robin Thicke,Compass or Map,2012-04-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Hey Violet,Brand New Moves,2016-11-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Drake,"Hold On, We’re Coming Home",2014-01-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Demi Lovato,Body Say,2016-07-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Jazmine Sullivan,Bust Your Windows,Top Picks: Joni Fraser,GSDJ - https://proswingdjs.com/
Vic Allen,I’m Hooked,2013-05-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Andrew Allen,Loving You Tonight,2011-02-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Anthony Ramos,Either Way,Top Picks: Koichi Tsunoda,GSDJ - https://proswingdjs.com/
Mayer Hawthorne,The Walk,2011-11-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
"Kauai45, Sweet Cocoa",Let’s Stay Together,2024-06-01GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
The Jacksons,Blame it on the Boogie,Top Picks: John Collini,GSDJ - https://proswingdjs.com/
Michael Lynch,Miss You,2010-06-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
"Marphil, Yann Muller & Sylow",Lie To Me,2022-10-01GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Jack Harlow,Lovin On Me (Clean),2023-12-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Lucas Grabeel,Got It,2009-11-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Charlie Puth,How Long,2017-12-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Maroon 5,Beautiful Goodbye,2013-09-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Meghan Trainor,No Excuses,2018-04-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Bruno Mars,Chunky,2016-12-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Maroon 5 Ft SZA,What Lovers Do,2017-10-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Sylvan Esso,Coffee,Top Picks: Celina Nelson,GSDJ - https://proswingdjs.com/
INNA,Say It With Youur Body,2017-01-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Castelle & Nic Hanson,We Don’t Need To Dance,2018-10-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Matt Simons,Catch & Release (Deepend rmx),2015-10-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Tove Lo,Cool Girl (Clean),2016-08-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Emotional Oranges,Motion,2018-06-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Christine & The Queens,Christine,2015-07-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Josh Vietti,Street Violin,Top Picks: Jalene Haramia,GSDJ - https://proswingdjs.com/
Sam Cooke,Don’t Get Around Much Anymore,Top Picks: Michael Lambert,GSDJ - https://proswingdjs.com/
Tom Jones,Bring It On Home,2016-04-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Maitre GIMS ft. Sting,Reste,Top Picks: Donna Conley,GSDJ - https://proswingdjs.com/
Tyga,Freaky Deaky,Top Picks: Kaiano Levine,GSDJ - https://proswingdjs.com/
Robin Thicke,Rollcoasta,2010-02-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Pharrell Williams,Crave,2017-03-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Charlie Puth,Girlfriend,2020-07-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Adam Lambert,Shady,2012-09-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Capital Cities,Safe & Sound,2013-08-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Nelly,Just A Dream,2010-12-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Shawn Mendes & Zedd,Lost In Japan [Rmx],2018-11-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Merk & Kremont,Hands Up Ft DNCE,2018-07-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Ariana Grande,Into You,2016-05-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Coldplay,Magic,2014-04-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Chris Cab,Liar Liar,2014-02-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Era Istrefi,Bonbon,2016-04-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Lady Gaga,The Cure,2017-06-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Elise LeGrow,>Going Back To Where I Belong,2018-04-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Ciara,Kiss & Tell,2015-06-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Candice Glover,I Heard It Through The Grapevine,2013-05-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Aaron Carpenter,Attitude,2019-07-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
The Vamps & Kris Amsterdam,Cheap Wine,2018-11-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Jessie J. feat B.O.B.,Price Tag,2011-07-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Bad News Brown,Reign,2013-07-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Charlie Puth,One Call Away,2015-08-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Elderbrook,Could,Top Picks: John Collini,GSDJ - https://proswingdjs.com/
James Hersey,Miss You,2017-03-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Ne-Yo,Trouble,2009-11-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Trampled Under Foot,Bad Bad Feeling,2013-08-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
John Mayer,Something Like Olivia,2012-06-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
"Liam Payne, Quavo",Strip That Down,Top Picks: DJ Josh Angel,GSDJ - https://proswingdjs.com/
Olly Murs Ft Flo Rida,Troublemaker,2012-11-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Charlie Puth,Marvin Gaye (Ft Meghan Trainor),2015-05-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Kelly Clarkson,Stronger,2012-02-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Juzzie Smith,Jamming,2017-08-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
"Alicia Gianni, Joseph Li, Mike Whitebread, Dan Workman",Don’t Forget to Say Goodnight,Top Picks: Emily Myers,GSDJ - https://proswingdjs.com/
Brandy,Can You Hear Me Now,2012-11-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Alec Bailey,Roseanne,2020-01-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Pumas,Colors,Top Picks: Michael Lambert,GSDJ - https://proswingdjs.com/
Dua Lipa,Dance the Night,2023-05-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Lulu,I Thank You,2009-10-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Acoustic live at MTV Unplugged - Eric Clapton,Layla,Top Picks: Kerrin Pollock,GSDJ - https://proswingdjs.com/
Big Data,Dangerous ( Oliver Remix),2015-05-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Ed Sheeran,What Do I Know,2017-03-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Rod Stewart,Do ya Think I’m Sexy Ft DNCE,2017-09-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Lauv,Paris In The Rein,Top Picks: Greg Wolf,GSDJ - https://proswingdjs.com/
Steven Rodriguez,Shackles,Top Picks: Emily Huang,GSDJ - https://proswingdjs.com/
The Weeknd,Pray For Me,2018-03-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Joss Stone,I Believe It To My Soul,2009-11-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Ne-Yo,One In A Million,2010-12-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Ed Sheeran,What Do I Know,2017-04-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Maroon 5,Moves Like Jagger,2012-01-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Celeste,Love Is Back,2021-01-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Charlie Wilson,Sugar Honey Ice Tea,2015-07-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Usher,Scream,2012-08-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Far East Movement,Like A G6,2010-10-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Lemar,"Me, U & The Music",2011-12-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Jess Glynne,Thursday,Top Picks: Sam Ghaida,GSDJ - https://proswingdjs.com/
MKTO,Classic,2014-07-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Blue Six,You Used To Rock,2011-07-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Prettymuch,Summer On You,2018-07-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Dua Lipa,Levitating,2020-12-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
"Will.I.Am, Pia Mia",Boys & Girls,2016-04-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Zedd & Liam Payne,Get Low,2017-08-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Lizzo,Boys,2018-11-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
X-Ambassadors,BOOM,2019-03-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Khalid,Location,Top Picks: JAmes Atwill,GSDJ - https://proswingdjs.com/
Dave Barnes,My Girl,2011-07-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Eric Benet,Harriet Jones,2012-06-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
John Legend,A Good Night (Clean),2018-05-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Keb Mo,The Worst Is Yet TO Come,2014-04-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
One Eskimo,Kandi,2010-05-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Prince,The Word,Top Picks: Sam Ghaida,GSDJ - https://proswingdjs.com/
Khalid,Better,2019-03-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Tomi,BabyGetDown,2010-03-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
RITUAL,Josephine (Acoustic),Top Picks: JAmes Atwill,GSDJ - https://proswingdjs.com/
The Chainsmokers,Roses,Top Picks: Celina Nelson,GSDJ - https://proswingdjs.com/
Pink,Raise Your Glass,2010-11-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Robi Kahakalau,Give Me One Reason,2012-04-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
,No Roots -Alice Merton,2018-01-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Zolita,U Remind Me,2021-02-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Lee Atwater,Te-Ni-Nee-Ni Nu,Top Picks: Rob Baen,GSDJ - https://proswingdjs.com/
Gims & Sting,Reste,2020-01-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Austin David,ZUMA,Top Picks: Cher Peadon,GSDJ - https://proswingdjs.com/
Edward Ong,I’m Lonely (Acoustic Instrumental),Top Picks: Kaiano Levine,GSDJ - https://proswingdjs.com/
Anthony Ramos,Good Time,Top Picks: Cher Peadon,GSDJ - https://proswingdjs.com/
Daniel Johns,Surrender,Top Picks: JAmes Atwill,GSDJ - https://proswingdjs.com/
Stephen Puth,Sexual Vibe,2019-01-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Ernie Halter,Whisper,2011-11-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Two Another,The Night,Top Picks: Sam Ghaida,GSDJ - https://proswingdjs.com/
Brandy,Can You Hear Me Now,2013-04-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Iris Gold,Wow,2020-03-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Quincy Jones ft. Akon,Strawberry Letter 23,2010-06-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Celine Dion,Le Ballet,Top Picks: Greg Wolf,GSDJ - https://proswingdjs.com/
Bruno Mars,Grenade,2011-01-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Frenship,Capsize,2016-09-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Jonas Blue,Polaroid,2018-11-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Black Eyed Peas,Boom Boom Pow, - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Glass ANimals,Gooey,2014-06-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Clean Bandit,Rockabye (Clean),2017-01-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Seven,BackFunkLoveSoul,2015-04-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Jamie Woon,Sharpness,Top Picks: Michael Lambert,GSDJ - https://proswingdjs.com/
Phlake,Chunks,Top Picks: Liz Ravdin,GSDJ - https://proswingdjs.com/
Keith Urban,Parallel Line,Top Picks: Chris Uren,GSDJ - https://proswingdjs.com/
Shakura S’Aida,Geechee Woman,Top Picks: Bruno Bittencourt,GSDJ - https://proswingdjs.com/
Janet Jackson,No Sleep,2015-10-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Deanna Bogart & Tommy Castro,Love & Attention,2009-10-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Katy Perry,Swish Swish,2017-07-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
John Legend & Saweetie,All She Wanna Do,2022-08-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
The Gifted & Sam Fischer,Restless,2019-12-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Meghan Trainor,Funk,Top Picks: DJ Josh Angel,GSDJ - https://proswingdjs.com/
Jason DeRulo,Want To Want Me,2015-05-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Maroon 5,Misery,2010-09-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
"Frank Sinatra, Count Basie",Fly Me To The Moon,Top Picks: John Collini,GSDJ - https://proswingdjs.com/
Mapei,Don’t Wait,2014-02-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Heather Newman,Dirty Blues,Top Picks: DJ Josh Angel,GSDJ - https://proswingdjs.com/
Bad News Brown,Regin,2013-04-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Snoop Dogg and Charlie Wilson,Peaches n Cream,2015-04-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Billie Eilish,Bury A Friend,2019-07-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
"Mike Posner, Blackbear",Jealousy,2021-05-01GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Flo Rida Ft Pitbull,Can’t Believe It,2013-11-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
"Mac Miller, Anderson .Paak",Dang!,Top Picks: Michael Lambert,GSDJ - https://proswingdjs.com/
Jason Derulo,Don’t Wanna Go Home,2011-07-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Ariana Grande,Focus,2015-11-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Kevin Garrett,Little Bit of You,Top Picks: Jalene Haramia,GSDJ - https://proswingdjs.com/
Ed Sheeran,One,Top Picks: Koichi Tsunoda,GSDJ - https://proswingdjs.com/
Colby O’Donis,Game For You,2010-11-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Why Don’t We,Something Different,2017-09-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Marian Hill,Subtle Thing,2018-03-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Charlie Wilson,My Baby,2013-03-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Zac Brown Band,Overnight,2013-11-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Mary J. Blige,Family Affair,Top Picks: Bruno Bittencourt,GSDJ - https://proswingdjs.com/
Tom Walker,Blessings,Top Picks: Koichi Tsunoda,GSDJ - https://proswingdjs.com/
Charlie Wilson Ft Snoop Dogg,Infectious,2015-02-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
LANY,ILYSB (STRIPPED),Top Picks: Thomas Friess,GSDJ - https://proswingdjs.com/
Kelly Clarkson,Catch My Breath,2012-11-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
,Love Letter (Christmas-Holiday Mix),2010-12-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Ledisi,Turn Me Loose,2009-11-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Ria Mae,Clothes Off,2015-08-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Maroon 5,Memories,2019-10-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
JUNG,Call Me Up,Top Picks: Aidan Keith-Hynes,GSDJ - https://proswingdjs.com/
Khalid,Skyline,Top Picks: Cher Peadon,GSDJ - https://proswingdjs.com/
Ben L’Oncle Soul,Soulman (English Version),2011-03-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Hailee Steinfield,Let Me Go,2017-10-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Marian Hill,Down,2016-03-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Dr John,I’m Gonna Go Fishin’, - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Jerrod Niemann,"Lover, Lover",2010-08-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
2000 Lbs of Blues,Lemonade,Top Picks: Rob Baen,GSDJ - https://proswingdjs.com/
Maroon 5,Don’t Wanna Know,2016-10-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Zedd & Liam Payne,Get Low,2017-07-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Liam Payne,Strip That Down,2017-06-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Daft Punk,Get Lucky,2013-06-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Andy Grammer,Fresh Eyes,2016-11-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
James Blunt,Love Me Better,2017-03-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Nelly Furtado,Turn Off the Light,Top Picks: Tana Abeni,GSDJ - https://proswingdjs.com/
Justin Timberlake,Filthy,2018-01-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Justin Bieber & BloodPop,Friends,2017-10-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Stefania,Aleg Să lert,Top Picks: John Collini,GSDJ - https://proswingdjs.com/
DNCE,Toothbrush,2016-05-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Mario,Let Me Love You,Top Picks: Liz Ravdin,GSDJ - https://proswingdjs.com/
Charlie Puth & Selena Gomez,We Don’t Talk Anymore,2016-03-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
"stories, Lawrence",Stacy’s Mom,Top Picks: Michael Lambert,GSDJ - https://proswingdjs.com/
Maroon 5 ft Christina Aguilera,Moves Like Jagger,2011-08-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
David Archuleta,The Other Side of Down,2011-03-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Deitrick Haddon,Go With Me,2010-04-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Lupe Fiasco,Coming Up,2011-06-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Lauv,Love U Like That,2023-09-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Nathan Sykes,More Than You’ll Ever Know,GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Hurts,Lights,2015-10-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Estelle,Dance With Me,2010-02-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Justin Timberlake,Can’t Stop The Feeling,2016-07-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Alma,Karma,2016-06-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Capital Cities,Staying Alive,2013-12-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Viaa,Run Around,2018-10-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
Yuna,Lullabies,Top Picks: JAmes Atwill,GSDJ - https://proswingdjs.com/
R.A.D.,Me N You,Top Picks: Tana Abeni,GSDJ - https://proswingdjs.com/
Sade,Kiss of Life,Top Picks: Rob Baen,GSDJ - https://proswingdjs.com/
Quincy Jones feat Akon,Strawberry Letter 23,2010-08-01 - GSDJ Top 10 - #4,GSDJ - https://proswingdjs.com/
Remy Shand,Rock Steady,Top Picks: Rob Baen,GSDJ - https://proswingdjs.com/
Shawn Mendes,Lost In Japan,2018-02-01 - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
"Marshmello, Halsey",Be Kind,2020-05-01GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Florence + The Machine,Dream Girl Evil,Top Picks: Cher Peadon,GSDJ - https://proswingdjs.com/
"Patric Johnston, Lauren Black",Same Drugs,Top Picks: Michael Lambert,GSDJ - https://proswingdjs.com/
Rixton,Me and My Broken Heart,2014-05-01 - GSDJ Top 10 - #9,GSDJ - https://proswingdjs.com/
Usher,I Don’t Mind,2015-01-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Cody Kashmar,Last Time,2014-04-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Pentatonix,Can’t Sleep Love,2015-11-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
"Sam Smith, Normani",Dancing with A Stranger,2019-02-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Charlie Puth,Attention,2017-05-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Charlie Puth,Marvin Gaye Ft Meghan Trainor,2015-02-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
The James Douglas Show,Wonderfully,2011-10-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
R. Kelly,Love Letter,2011-05-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Natalie La Rose,Somebody,2015-03-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Joe,Compromise,2013-08-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
John Legend,A Good Night (Clean),2018-07-01 - GSDJ Top 10 - #3,GSDJ - https://proswingdjs.com/
Ralph,Tables Have Turned,2020-01-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Ed Sheeran,Bad Habits,Top Picks: Jalene Haramia,GSDJ - https://proswingdjs.com/
Laura Izibor,Shine,2013-02-01 - GSDJ Top 10 - #7,GSDJ - https://proswingdjs.com/
Katy Perry feat. Snoop Dog,California Girls,2010-05-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Milt Buckner,The Beast,GSDJ Top 19 Slow “Blues” ,GSDJ - https://proswingdjs.com/
"Ciara, Justin Timberlake","Love, Sex & Magic", - GSDJ Top 10 - #6,GSDJ - https://proswingdjs.com/
"FOY, Scott Quinn",Give me the Night,Top Picks: Tana Abeni,GSDJ - https://proswingdjs.com/
iamnotshane,Maybe My Soulmate died,Top Picks: Emily Huang,GSDJ - https://proswingdjs.com/
Ladi6,Like Water,2011-09-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Kiiara,L*** Is A Bad Word,2019-03-01 - GSDJ Top 10 - #10,GSDJ - https://proswingdjs.com/
Brother Yusef,Bakersfield Blues,Top Picks: Liz Ravdin,GSDJ - https://proswingdjs.com/
Bakermat,Walk That Walk,Top Picks: Kaiano Levine,GSDJ - https://proswingdjs.com/
Stefanie Heinzmann,Do Your Thing,2010-02-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
"The Chainsmokers, Winona Oak",Hope,Top Picks: Jalene Haramia,GSDJ - https://proswingdjs.com/
Frenship Ft Emily Warren,Capsize,2016-11-01 - GSDJ Top 10 - #5,GSDJ - https://proswingdjs.com/
Billie Eilish,Bellyache,2017-03-01 - GSDJ Top 10 - #8,GSDJ - https://proswingdjs.com/
Jhameel,Feisty,2013-12-01 - GSDJ Top 10 - #1,GSDJ - https://proswingdjs.com/
Charles Brown,Boogie Woogie Santa Claus,2009-12-01Holiday themed list,GSDJ - https://proswingdjs.com/
Maroon 5 Ft Kendrick Lamar,Don’t Wanna Know,2016-12-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
Meghan Trainor,Funk,2020-03-01 - GSDJ Top 10 - #2,GSDJ - https://proswingdjs.com/
